Anchovy,All year,Ocean,4 - 21,200
Angelfish,Nov - Apr,River,16 - 9,"3,000"
Arowana,Dec - Mar,River,16 - 9,"10,000"
Barred Knifejaw,Sept - May,Ocean,All day,"5,000"
Barreleye,All year,Ocean,21 - 4,"12,000"
Betta,Nov - Apr,River,9 - 16,"2,500"
Bitterling,May - Sept,River,All day,900
Black Bass,All year,River,All day,400
Blowfish,May - Aug,Ocean,21 - 4,"5,000"
Blue Marlin,Jan - Mar | May - Oct,Pier,All day,"10,000"
Bluegill,All year,River,9 - 16,180
Carp,All year,River,All day,300
Catfish,Nov - Apr,Pond,16 - 9,800
Char,Mar - May | Sept - Dec,River,16 - 9,"3,800"
Cherry Salmon,Mar - May | Sept - Dec,River (Clifftop),All day,"1,000"
Clownfish,Oct - Mar,Ocean,All day,650
Coelacanth,All year,Ocean (Rain),All day,"15,000"
Crawfish,Oct - Mar,Pond,All day,200
Crucian Carp,All year,River,All day,160
Dab,Apr - Oct,Ocean,All day,300
Dace,All year,River,16 - 9,240
Football Fish,May - Sept,Ocean,16 - 9,"2,500"
Freshwater Goby,All year,River,16 - 9,400
Golden Trout,"Mar - May, Sept - Nov",River (Clifftop),16 - 9,"15,000"
Goldfish,All year,Pond,All day,"1,300"
Guppy,Oct - May,River,9 - 16,"1,300"
Hammerhead Shark,Dec - Mar,Ocean,16 - 9,"8,000"
Horse Mackerel,All year,Ocean,All day,150
King Salmon,Mar,River (Mouth),All day,"1,800"
Koi,All year,Pond,16 - 9,"4,000"
Loach,Sept - Nov,River,All day,400
Mitten Crab,Mar - May,River,16 - 9,"2,000"
Moray Eel,Feb - Apr,Ocean,All day,"2,000"
Neon Tetra,Oct - May,River,4 - 16,500
Oarfish,June - Nov,Ocean,All day,"9,000"
Ocean Sunfish,Jan - Mar,Ocean,4 - 21,"4,000"
Olive Flounder,All year,Ocean,All day,800
Pale Chub,All year,River,9 - 16,200
Pike,Mar - June,River,All day,"1,800"
Piranha,Dec - Mar,River,9 - 16 | 4 - 21,"2,500"
Pond Smelt,June - Aug,River,All day,320
Pop-eyed Goldfish,All year,Pond,9 - 16,"1,300"
Puffer Fish,Jan - Mar,Ocean,All day,250
Rainbowfish,Nov - Apr,River,9 - 16,800
Ranchu Goldfish,All year,Pond,9 - 16,"4,500"
Ray,Feb - May,Ocean,4 - 21,"3,000"
Red Snapper,All year,Ocean,All day,"3,000"
Ribbon Eel,Jan - Apr,Ocean,All day,600
Salmon,Mar,River (Mouth),All day,700
Sea Bass,All year,Ocean,All day,400
Sea Butterfly,June - Sept,Ocean,All day,"1,000"
Seahorse,Oct - May,Ocean,All day,"1,100"
Soft-shelled Turtle,Feb - Mar,River,16 - 9,"3,750"
Squid,June - Feb,Ocean,All day,500
Stringfish,June - Sept,River (Clifftop),16 - 9,"15,000"
Sturgeon,Mar - Sept,River (Mouth),All day,"10,000"
Suckerfish,Dec - Mar,Ocean,All day,"1,500"
Sweetfish,Jan - Mar,River,All day,900
Tadpole,Sept - Jan,Pond,All day,100
Tilapia,Dec - Apr,River,All day,800
Tuna,May - Oct,Pier,All day,"7,000"
Whale Shark,Dec - Mar,Ocean,All day,"13,000"
Yellow Perch,Apr - Sept,River,All day,300
Zebra Turkeyfish,Jan - May | Oct - Nov,Ocean,All day,500
